month,close,open,high,low,volume
2014-10,415.1045454545454,412.10909090909087,455.1,392.2,203250.0
2014-11,438.5473684210526,438.24736842105267,454.9,423.4,74520.0
2014-12,436.7809523809524,435.06666666666666,461.6,408.5,171270.0
2015-01,458.5904761904762,458.0952380952381,469.1,443.9,103320.0
2015-02,462.9157894736842,462.35789473684207,476.7,448.8,136660.0
2015-03,456.8181818181818,457.6818181818182,466.7,445.4,111660.0
2015-04,452.75714285714287,452.5761904761905,464.5,437.1,149540.0
2015-05,464.93999999999994,464.075,473.9,455.0,103720.0
2015-06,499.99090909090904,496.6,541.9,470.3,191960.0
2015-07,520.940909090909,520.7454545454545,543.5,487.0,153310.0
2015-08,486.805,487.61499999999995,513.3,462.3,258290.0
2015-09,468.2523809523809,467.96666666666664,481.1,454.0,296350.0
2015-10,471.2666666666667,471.97142857142853,481.9,460.5,236820.0
2015-11,466.63,466.88,474.5,457.0,124320.0
2015-12,475.39047619047625,474.4380952380953,486.1,463.8,159180.0
2016-01,478.66999999999996,479.035,490.0,469.9,122050.0
2016-02,463.525,464.52,476.0,438.7,185530.0
2016-03,463.77272727272725,463.34090909090907,479.3,446.4,126540.0
2016-04,486.0,484.4047619047619,501.6,473.0,176310.0
2016-05,512.4666666666666,512.0666666666666,527.5,494.7,108770.0
2016-06,502.70454545454544,503.66818181818184,528.2,461.2,171270.0
2016-07,465.285,466.28000000000003,485.5,442.2,143280.0
2016-08,460.3363636363636,459.94545454545454,475.7,444.0,270380.0
2016-09,462.99523809523805,462.5,474.5,455.0,240530.0
2016-10,491.2,488.34,520.2,460.7,250740.0
2016-11,513.5095238095239,513.2333333333333,534.0,497.3,128040.0
2016-12,515.8100000000001,516.96,532.9,492.0,191500.0
2017-01,506.54761904761904,506.052380952381,525.3,491.9,125960.0
2017-02,518.9315789473685,518.9842105263158,529.5,506.1,153490.0
2017-03,510.3695652173913,511.67826086956524,536.6,479.1,160160.0
2017-04,506.321052631579,504.12631578947367,532.9,473.7,151120.0
2017-05,520.8909090909091,521.7227272727273,529.3,499.4,91910.0
2017-06,512.9136363636363,510.35909090909087,551.3,492.6,176640.0
2017-07,532.62,532.15,582.8,486.0,127720.0
2017-08,502.1318181818182,502.3363636363636,518.8,490.7,227370.0
2017-09,491.66499999999996,491.805,501.8,482.5,228360.0
2017-10,500.0571428571429,498.6285714285715,513.5,489.6,221900.0
2017-11,514.1857142857143,514.0190476190476,520.9,506.5,128020.0
2017-12,497.56842105263155,499.40000000000003,511.2,476.8,175960.0
2018-01,491.59090909090907,491.50454545454545,499.3,482.2,105220.0
2018-02,504.40526315789475,503.1473684210526,520.4,490.7,167830.0
2018-03,519.3095238095239,518.8238095238095,528.5,507.0,84900.0
2018-04,529.6571428571428,528.2380952380952,541.7,520.4,156090.0
2018-05,532.1454545454545,532.0136363636364,540.0,524.4,83830.0
2018-06,520.847619047619,521.2809523809524,536.0,508.1,164880.0
2018-07,498.4809523809524,497.7952380952381,523.2,481.6,99170.0
2018-08,501.30909090909086,501.19545454545454,512.9,487.3,195350.0
2018-09,492.71578947368425,492.3894736842105,499.9,483.5,164930.0
2018-10,491.6318181818182,492.4318181818182,503.6,473.7,190210.0
2018-11,476.23809523809524,475.9380952380953,482.7,471.0,107980.0
2018-12,480.2631578947368,480.2684210526316,488.9,470.6,177560.0
2019-01,482.74545454545455,482.69545454545454,490.4,475.0,118250.0
2019-02,476.7368421052632,476.9263157894737,485.8,454.8,156930.0
2019-03,456.5238095238095,456.79999999999995,468.9,449.0,105280.0
2019-04,450.1,450.7952380952381,461.2,436.5,202070.0
2019-05,441.85,441.2818181818182,462.1,429.9,135240.0
2019-06,453.08500000000004,452.895,462.8,439.2,187660.0
